first name,last name,Category,Sub-Category,Suber-catogory,,,
,Collared lemming,animals,,,,,
,Collared lizard,animals,,,,,
,Collared peccary,animals,,,,,
,"Colobus, black and white",animals,,,,,
,"Colobus, magistrate black",animals,,,,,
,"Colobus, white-mantled",animals,,,,,
,Columbian rainbow boa,animals,,,,,
,Comb duck,animals,,,,,
,Common boubou shrike,animals,,,,,
,Common brushtail possum,animals,,,,,
,Common dolphin,animals,,,,,
,Common duiker,animals,,,,,
,Common eland,animals,,,,,
,Common genet,animals,,,,,
,Common goldeneye,animals,,,,,
,Common green iguana,animals,,,,,
,Common grenadier,animals,,,,,
,Common langur,animals,,,,,
,Common long-nosed armadillo,animals,,,,,
,Common melba finch,animals,,,,,
,Common mynah,animals,,,,,
,Common nighthawk,animals,,,,,
,Common palm civet,animals,,,,,
,Common pheasant,animals,,,,,
,Common raccoon,animals,,,,,
,Common rhea,animals,,,,,
,Common ringtail,animals,,,,,
,Common seal,animals,,,,,
,Common shelduck,animals,,,,,
,Common turkey,animals,,,,,
,Common wallaroo,animals,,,,,
,Common waterbuck,animals,,,,,
,Common wolf,animals,,,,,
,Common wombat,animals,,,,,
,Common zebra,animals,,,,,
,Common zorro,animals,,,,,
,"Constrictor, eastern boa",animals,,,,,
,Cook's tree boa,animals,,,,,
,"Coot, red-knobbed",animals,,,,,
,Coqui francolin,animals,,,,,
,Coqui partridge,animals,,,,,
,"Corella, long-billed",animals,,,,,
,Cormorant (unidentified),animals,,,,,
,"Cormorant, flightless",animals,,,,,
,"Cormorant, great",animals,,,,,
,"Cormorant, javanese",animals,,,,,
,"Cormorant, king",animals,,,,,
,"Cormorant, large",animals,,,,,
,"Cormorant, little",animals,,,,,
,"Cormorant, neotropic",animals,,,,,
,"Cormorant, pied",animals,,,,,
,Cottonmouth,animals,,,,,
,Cougar,animals,,,,,
,"Cow, scottish highland",animals,,,,,
,Coyote,animals,,,,,
,Crab (unidentified),animals,,,,,
,"Crab, red lava",animals,,,,,
,"Crab, sally lightfoot",animals,,,,,
,Crab-eating fox,animals,,,,,
,Crab-eating raccoon,animals,,,,,
,"Crake, african black",animals,,,,,
,"Crane, black-crowned",animals,,,,,
,"Crane, blue",animals,,,,,
,"Crane, brolga",animals,,,,,
,"Crane, sandhill",animals,,,,,
,"Crane, sarus",animals,,,,,
,"Crane, stanley",animals,,,,,
,"Crane, wattled",animals,,,,,
,"Creeper, black-tailed tree",animals,,,,,
,Crested barbet,animals,,,,,
,Crested bunting,animals,,,,,
,Crested porcupine,animals,,,,,
,Crested screamer,animals,,,,,
,Crimson-breasted shrike,animals,,,,,
,"Crocodile, nile",animals,,,,,
,"Crow, american",animals,,,,,
,"Crow, house",animals,,,,,
,"Crow, pied",animals,,,,,
,Crown of thorns starfish,animals,,,,,
,Crowned eagle,animals,,,,,
,Crowned hawk-eagle,animals,,,,,
,Cuis,animals,,,,,
,"Curlew, black",animals,,,,,
,Currasow (unidentified),animals,,,,,
,Curve-billed thrasher,animals,,,,,
,Dabchick,animals,,,,,
,Dama wallaby,animals,,,,,
,Dark-winged trumpeter,animals,,,,,
,"Darter, african",animals,,,,,
,Darwin ground finch (unidentified),animals,,,,,
,Dassie,animals,,,,,
,"Deer, barasingha",animals,,,,,
,"Deer, black-tailed",animals,,,,,
